track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2HYFX63wP3otVIvopRS99Z,Eminem,Houdini,Houdini,81,227239,True,0.936,0.887,9,-2.76,0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,4,Hip-Hop/Rap
6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,Not Like Us,88,274192,True,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,Hip-Hop/Rap
2tudvzsrR56uom6smgOcSf,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,Like That,83,267706,True,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,4,Hip-Hop/Rap
7mOC6phfrfz3jfigg1aGsE,"GloRilla, Megan Thee Stallion",Ehhthang Ehhthang,Wanna Be (with Megan Thee Stallion),74,156444,True,0.919,0.629,1,-5.17,1,0.376,0.0226,0.0,0.146,0.407,135.05,4,Hip-Hop/Rap
28drn6tQo95MRvO0jQEo5C,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,Type Shit,84,228266,True,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,4,Hip-Hop/Rap
0SdBkFh6u5IHIXqlBu0NyI,GloRilla,Yeah Glo!,Yeah Glo!,69,142702,True,0.894,0.66,11,-5.349,0,0.33,0.0243,0.0,0.139,0.181,148.072,4,Hip-Hop/Rap
56qiAh3R5y85Ng26tkAUD3,GloRilla,TGIF (Alternate Versions),TGIF,66,164571,True,0.884,0.526,10,-6.556,0,0.376,0.0736,6.23e-05,0.13,0.228,140.049,4,Hip-Hop/Rap
3yX73YM73j5BF6gIcqZdM7,BossMan Dlow,Mr Pot Scraper,Mr Pot Scraper,38,145028,False,0.711,0.528,1,-7.266,1,0.205,0.166,0.0,0.0789,0.256,160.062,4,Hip-Hop/Rap
77DRzu7ERs0TX3roZcre7Q,Kendrick Lamar,euphoria,euphoria,78,383639,True,0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,4,Hip-Hop/Rap
7FCBaE2gGhlWUzUaROPqoV,BossMan Dlow,2 Slippery,Finesse,60,129000,True,0.701,0.536,0,-8.607,1,0.244,0.0727,0.000628,0.116,0.289,159.763,3,Hip-Hop/Rap
4rXLjWdF2ZZpXCVTfWcshS,Gunna,a Gift & a Curse,fukumean,82,125040,True,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4,Hip-Hop/Rap
